eenheid	omschrijving	open
a	stilstaande wateren	FALSE
abi	gewone zilverspar (Abies alba)	FALSE
acer	esdoorn (Acer sp.)	FALSE
ad	bezinkingsbekken	FALSE
ad-	bezinkingsbekken, zwak ontwikkeld en/of weinig voorkomend	FALSE
ad+	bezinkingsbekken, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
ae	eutroof water	FALSE
ae-	eutroof water, zwak ontwikkeld en/of weinig voorkomend	FALSE
ae+	eutroof water, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
aer	recent gegraven of vergraven eutroof water	FALSE
aer-	recent gegraven of vergraven eutroof water, zwak ontwikkeld en/of weinig voorkomend	FALSE
aer+	recent gegraven of vergraven eutroof water, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
aes	witte paardenkastanje (Aesculus hippocastanum)	FALSE
aev	van oorsprong 'natuurlijk' eutroof water	FALSE
aev-	van oorsprong 'natuurlijk' eutroof water, zwak ontwikkeld en/of weinig voorkomend	FALSE
aev+	van oorsprong 'natuurlijk' eutroof water, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
ah	brak of zilt water	FALSE
ah-	brak of zilt water, zwak ontwikkeld en/of weinig voorkomend	FALSE
ah+	brak of zilt water, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
alng	zwarte els (Alnus glutinosa)	FALSE
alni	witte els (Alnus incana)	FALSE
ao	oligotroof water	FALSE
ao-	oligotroof water, zwak ontwikkeld en/of weinig voorkomend	FALSE
ao+	oligotroof water, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
aom	mesotroof water	FALSE
aom-	mesotroof water, zwak ontwikkeld en/of weinig voorkomend	FALSE
aom+	mesotroof water, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
aoo	oligotroof water	FALSE
aoo-	oligotroof water, zwak ontwikkeld en/of weinig voorkomend	FALSE
aoo+	oligotroof water, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
ap	diep of zeer diep water	FALSE
ap-	diep of zeer diep water, zwak ontwikkeld en/of weinig voorkomend	FALSE
ap+	diep of zeer diep water, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
apo	diep of zeer diep water met zacht hellende oevers	FALSE
apo-	diep of zeer diep water met zacht hellende oevers, zwak ontwikkeld en/of weinig voorkomend	FALSE
apo+	diep of zeer diep water met zacht hellende oevers, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
app	diep of zeer diep water met steile oevers	FALSE
app-	diep of zeer diep water met steile oevers, zwak ontwikkeld en/of weinig voorkomend	FALSE
app+	diep of zeer diep water met steile oevers, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
b	akker	TRUE
b-	akker, weinig voorkomend in complex	TRUE
bet	berk (Betula sp.)	FALSE
bk	akker op kalkrijke stenige leem	TRUE
bk-	akker op kalkrijke stenige leem, weinig voorkomend in complex	TRUE
bk+	akker op kalkrijke stenige leem met veel of zelfzame akkerkruiden, met veel en/of zeldzame akkerkruiden	TRUE
bl	akker op lemige bodem	TRUE
bl-	akker op lemige bodem, weinig voorkomend in complex	TRUE
bl+	akker op lemige bodem met veel of zelfzame akkerkruiden, met veel en/of zeldzame akkerkruiden	TRUE
bs	akker op zandige bodem	TRUE
bs-	akker op zandige bodem, weinig voorkomend in complex	TRUE
bs+	akker op zandige bodem met veel of zelfzame akkerkruiden, met veel en/of zeldzame akkerkruiden	TRUE
bu	akker op kleiige bodem	TRUE
bu-	akker op kleiige bodem, weinig voorkomend in complex	TRUE
bu+	akker op kleiige bodem met veel of zelfzame akkerkruiden, met veel en/of zeldzame akkerkruiden	TRUE
c	heiden	FALSE
car	haagbeuk (Carpinus betulus)	FALSE
cas	tamme kastanje (Castanea sativa)	FALSE
cd	gedegradeerde heide met dominatie van bochtige smele	FALSE
cd-	gedegradeerde heide met dominatie van bochtige smele, zwak ontwikkeld en/of weinig voorkomend	FALSE
cd+	gedegradeerde heide met dominatie van bochtige smele, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cdb	gedegradeerde heide met dominatie van bochtige smele met beperkte opslag van struiken en bomen	FALSE
cdb-	gedegradeerde heide met dominatie van bochtige smele met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
cdb+	gedegradeerde heide met dominatie van bochtige smele met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
ce	vochtige tot natte dopheidevegetatie	FALSE
ce-	vochtige tot natte dopheidevegetatie, zwak ontwikkeld en/of weinig voorkomend	FALSE
ce+	vochtige tot natte dopheidevegetatie, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
ceb	vochtige tot natte dopheidevegetatie met beperkte opslag van struiken en bomen	FALSE
ceb-	vochtige tot natte dopheidevegetatie met beperkte opslag van struiken en bomen, zwak ontwikkeld en/of weinig voorkomend	FALSE
ceb+	vochtige tot natte dopheidevegetatie met beperkte opslag van struiken en bomen, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
ces	venige natte heide met soorten uit de hoogveenflora	FALSE
ces-	venige natte heide met soorten uit de hoogveenflora, zwak ontwikkeld en/of weinig voorkomend	FALSE
ces+	venige natte heide met soorten uit de hoogveenflora, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
cesb	venige natte heide met soorten uit de hoogveenflora met beperkte opslag van struiken en bomen	FALSE
